number of precincts: 55 39 41 26 168
4303	3
4302	3
4301	3
4300	3
4307	5
4306	5
4305	3
4304	3
4309	5
4308	5
4479	5
4478	5
799	5
4410	4
4475	3
4474	3
4477	5
4476	3
818	1
819	5
810	1
811	1
812	1
813	1
814	1
815	1
816	1
817	5
4408	4
4409	5
4405	5
4406	4
4407	5
4400	3
4401	5
5919	2
5918	2
4328	5
4321	5
4320	3
4323	3
4322	3
4325	3
4324	3
4327	5
4326	3
4552	2
4553	5
4550	5
4551	2
832	1
830	5
831	5
4286	5
4289	5
4198	5
4199	1
4196	5
4197	5
4194	1
4195	1
4192	1
4193	5
4190	1
4191	1
4358	5
4359	5
4354	5
4355	5
4356	4
4357	5
4352	5
4353	5
4428	5
4429	3
4422	5
4423	5
4420	3
4426	5
4424	5
6204	5
6205	5
6206	2
6207	2
6200	1
6201	2
6202	1
6203	5
6208	2
6209	2
4273	3
4272	4
4271	5
4270	5
4277	5
4276	5
4275	3
4274	3
4278	5
4181	1
4441	3
4442	5
4446	3
4447	5
4448	5
4373	5
4377	5
4375	5
4174	5
4175	5
4176	5
4177	5
4170	5
4171	5
4529	5
4528	2
4527	5
4178	1
4179	5
6194	5
6195	1
6196	1
6197	1
6190	5
6191	5
6192	2
6193	1
6198	5
6199	1
6222	5
6223	5
6220	5
6221	5
6226	2
5921	2
5922	2
6225	5
6228	2
6229	2
4372	5
4311	5
4312	3
4313	3
4314	5
4315	5
4316	3
4317	5
4318	5
4319	5
4468	5
4466	5
4465	5
4462	3
4463	5
4460	3
4461	5
809	1
808	1
803	1
802	5
801	1
800	1
807	5
806	1
805	1
804	1
4383	3
4382	4
4381	5
4386	4
4385	5
5903	2
5900	1
5901	5
4269	5
5920	2
6227	2
6224	5
4434	4
4484	4
4485	5
4486	4
4487	5
829	1
828	5
4483	5
825	1
824	1
827	1
826	1
4488	4
4489	4
823	1
822	1
4310	5
4433	4
4208	5
4202	5
4203	5
4200	1
4201	1
4206	1
4207	5
4204	5
4205	1
797	1
4419	5
4418	4
4417	4
4416	5
4415	5
4414	4
4413	5
4412	5
4411	4
798	1
4549	2
4548	5
4541	2
4540	5
4543	5
4542	2
4545	2
4544	5
4547	5
4546	5
4299	3
4298	3
4295	5
821	5
4297	3
4296	3
4293	3
820	5
4189	5
4188	5
4266	4
4267	4
4268	5
4180	1
4183	1
4182	5
4185	5
4184	5
4187	5
4186	1
4435	4
6168	2
4437	4
4436	4
4172	5
4430	5
4349	3
4432	4
4347	5
4346	4
4439	5
4438	4
4340	5
4538	2
4539	5
4534	5
4535	2
4536	5
4537	2
4530	2
4531	5
4532	5
4533	5
5891	2
5892	5
5893	5
5894	5
5895	2
5896	2
5897	5
5898	5
5899	1
6217	2
6216	5
6215	5
6214	5
6213	1
6212	5
6211	5
6210	5
6219	5
6218	5
4364	4
4367	3
4366	5
4361	5
4360	5
4363	5
4294	3
4368	1
4452	3
4450	3
4456	3
4455	5
4454	5
4167	5
4166	5
4165	1
4164	5
4163	5
4162	1
4161	1
4173	5
4169	5
4168	5
6187	5
6186	2
6185	5
6184	5
6189	2
6188	5
4399	3
4392	5
4394	5
6238	5
6235	5
6234	5
6237	2
6236	5
6231	2
6230	2
6233	2
6232	2
