69,7682
81,4029
11,14330
96,12884
57,6119
51,26076
39,131090
47,26306
30,24276
40,20958
24,20260
29,14867
34,9670
45,20816
68,13956
65,18499
17,44151
23,12072
19,12439
83,9286
14,16667
21,18129
66,49116
44,17096
59,66135
97,8753
94,8457
41,17764
89,40325
3,16667
42,93653
4,10302
20,20880
18,16303
28,10680
90,7441
46,9336
38,12453
58,10954
36,15673
16,11341
37,17534
55,14928
88,20145
9,9566
26,9815
32,7089
63,16355
54,19848
61,36842
87,16843
64,130882
53,20638
74,10511
5,15543
99,35862
52,211226
76,11387
84,8898
1,11581
70,15679
73,22381
72,33309
49,40648
79,15059
8,10776
43,9243
85,7970
80,10740
77,42745
13,14398
2,6462
91,15932
15,9421
22,24986
25,7310
60,430640
67,93158
62,18914
93,5131
33,10350
78,165224
56,12167
12,33704
48,89542
50,17767
92,6317
82,12534
98,7570
86,35625
71,46225
75,21704
95,6403
35,38013
6,10866
10,21056
31,102172
7,7598
27,13229
