,X,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,FIPS.Code,County.Number,County.Name,Alex.number,Population
59,59,4471,2029,2330,112,4273,1977,2248,48,4297,1236,2873,188,19117,16059,Lucas,84,8898
60,60,6217,1675,4471,71,6466,1416,4965,85,6336,917,5188,231,19119,16060,Lyon,1,11581
61,61,8480,3733,4579,168,8140,3508,4492,140,8523,2666,5336,521,19121,16061,Madison,70,15679
62,62,10932,4464,6271,197,10777,4207,6420,150,10494,2606,7404,484,19123,16062,Mahaska,73,22381
63,63,17030,7421,9256,353,17536,7478,9810,248,17554,5469,10940,1145,19125,16063,Marion,72,33309
64,64,18657,10023,8278,356,18727,10085,8411,231,17700,7623,9125,952,19127,16064,Marshall,49,40648
65,65,7282,2976,4183,123,7169,2842,4211,116,7608,2080,5050,478,19129,16065,Mills,79,15059
66,66,5766,3179,2469,118,5580,2831,2643,106,5360,1879,3180,301,19131,16066,Mitchell,8,10776
67,67,4796,2295,2411,90,4707,2098,2555,54,4525,1244,3115,166,19133,16067,Monona,43,9243
68,68,3873,1798,2000,75,3802,1729,2022,51,3844,1053,2635,156,19135,16068,Monroe,85,7970
69,69,5287,2326,2887,74,5000,1919,2999,82,4998,1312,3431,255,19137,16069,Montgomery,80,10740
70,70,19119,10920,7929,270,19726,11213,8152,361,19086,8284,9549,1253,19139,16070,Muscatine,77,42745
71,71,7333,2338,4894,101,7295,1964,5259,72,7348,1314,5735,299,19141,16071,O'Brien,13,14398
72,72,3127,1037,2027,63,3179,909,2225,45,3197,552,2528,117,19143,16072,Osceola,2,6462
73,73,7356,2900,4351,105,7014,2588,4338,88,6968,1801,4875,292,19145,16073,Page,91,15932
74,74,4806,2428,2294,84,4857,2124,2649,84,4674,1395,3079,200,19147,16074,Palo Alto,15,9421
75,75,12512,4629,7765,118,12909,4148,8577,184,13057,2878,9659,520,19149,16075,Plymouth,22,24986
76,76,4011,1800,2138,73,3992,1518,2388,86,3831,962,2692,177,19151,16076,Pocahontas,25,7310
77,77,214386,120984,89668,3734,227563,128264,96029,3270,228420,119671,93421,15328,19153,16077,Polk,60,430640
78,78,42320,20436,21237,647,41679,19347,21751,581,42226,15341,24441,2444,19155,16078,Pottawattamie,67,93158
79,79,10031,5519,4340,172,9858,5307,4409,142,9693,4272,4936,485,19157,16079,Poweshiek,62,18914
80,80,2689,1236,1401,52,2578,1181,1366,31,2684,753,1820,111,19159,16080,Ringgold,93,5131
81,81,5053,2256,2705,92,5256,2117,3086,53,5158,1269,3692,197,19161,16081,Sac,33,10350
82,82,86371,48927,36365,1079,89826,50581,38223,1022,84878,40302,39083,5493,19163,16082,Scott,78,165224
83,83,6453,2863,3488,102,6456,2468,3903,85,6270,1649,4340,281,19165,16083,Shelby,56,12167
84,84,16664,3030,13490,144,17181,2683,14361,137,17989,2289,14761,939,19167,16084,Sioux,12,33704
85,85,46575,26548,18995,1032,46529,25940,19557,1032,48910,25085,19111,4714,19169,16085,Story,48,89542
86,86,8850,4899,3820,131,8930,4737,4076,117,8636,3194,4968,474,19171,16086,Tama,50,17767
87,87,3026,1347,1607,72,2978,1261,1680,37,3003,755,2108,140,19173,16087,Taylor,92,6317
88,88,5909,3000,2781,128,5899,3029,2800,70,5768,1920,3521,327,19175,16088,Union,82,12534
89,89,3608,1546,1986,76,3540,1398,2058,84,3526,843,2524,159,19177,16089,Van Buren,98,7570
90,90,15931,8820,6663,448,15630,8616,6777,237,14996,5591,8710,695,19179,16090,Wapello,86,35625
91,91,24880,12299,12144,437,25875,12521,13031,323,26916,10371,14773,1772,19181,16091,Warren,71,46225
92,92,10626,5170,5247,209,10880,5081,5540,259,10824,3938,6170,716,19183,16092,Washington,75,21704
93,93,2980,1357,1565,58,2886,1251,1583,52,2921,719,2069,133,19185,16093,Wayne,95,6403
94,94,18554,9917,8337,300,18118,9458,8453,207,17239,6293,10049,897,19187,16094,Webster,35,38013
95,95,6082,3254,2730,98,5878,2895,2897,86,5717,1920,3437,360,19189,16095,Winnebago,6,10866
96,96,11280,6829,4273,178,11016,6245,4618,153,11217,5238,5332,647,19191,16096,Winneshiek,10,21056
97,97,44801,21983,22219,599,44702,22026,22136,540,42933,16102,24627,2204,19193,16097,Woodbury,31,102172
98,98,4257,2567,1612,78,4143,2343,1743,57,4216,1523,2443,250,19195,16098,Worth,7,7598
99,99,6395,3102,3198,95,6174,2794,3309,71,5949,1890,3790,269,19197,16099,Wright,27,13229
