57,Polygon,58,1,57,53,3,3101,5300303101,A,Asotin 1,Asotin 1 Voting District,V2,G5240,N,1166718,0,46.3397931,-117.0496512,57,58,33,437,53,3,3101,5300303101,A,Asotin 1,Asotin 1 Voting District,V2,G5240,N,1166718,0,46.3398,-117.05,27520,621,437,1,33,Asotin,101,9,110,126,346,82,0,155,0.466102,0.345992,346,1,101,5,347,120,131,113,138,76,169,0.478088,0.450199,0.310204,0.41283,103.62,147.38,620L200US53009,53,9,9,SHD,7265.057,0.088621,0.000136
58,Polygon,59,1,58,53,3,3102,5300303102,A,Asotin 2,Asotin 2 Voting District,V2,G5240,N,1542827,0,46.334249,-117.0384335,58,59,34,497,53,3,3102,5300303102,A,Asotin 2,Asotin 2 Voting District,V2,G5240,N,1542827,0,46.3342,-117.038,27584,630,497,1,34,Asotin,102,10,76,193,365,63,0,210,0.282528,0.230769,365,1,102,6,360,108,187,107,187,79,208,0.366102,0.363946,0.275261,0.335103,98.5202,195.48,620L200US53009,53,9,9,SHD,7265.057,0.083682,0.00018
59,Polygon,60,1,59,53,3,3001,5300303001,A,Anatone,Anatone Voting District,V2,G5240,N,703473231,0,46.1502095,-117.131296,59,60,32,467,53,3,3001,5300303001,A,Anatone,Anatone Voting District,V2,G5240,N,703473231,0,46.1502,-117.131,27216,567,467,1,32,Asotin,1,1,42,137,224,40,0,142,0.234637,0.21978,224,1,1,1,234,65,127,60,133,42,153,0.338542,0.310881,0.215385,0.288269,55.6359,137.364,620L200US53009,53,9,9,SHD,7265.057,1.792898,0.081918
60,Polygon,61,1,60,53,3,3004,5300303004,A,West Asotin,West Asotin Voting District,V2,G5240,N,27278900,0,46.3334225,-117.1029737,60,61,51,345,53,3,3004,5300303004,A,West Asotin,West Asotin Voting District,V2,G5240,N,27278900,0,46.3334,-117.103,27404,434,345,1,51,Asotin,4,6,54,151,284,37,0,164,0.263415,0.18408,284,1,4,28,258,55,158,60,154,36,171,0.258216,0.280374,0.173913,0.237501,50.8252,163.175,620L200US53009,53,9,9,SHD,7265.057,0.337137,0.003187
61,Polygon,62,1,61,53,3,3003,5300303003,A,Rural Asotin,Rural Asotin Voting District,V2,G5240,N,620008150,958,46.2710585,-117.3486352,61,62,NA,101,53,3,3003,5300303003,A,Rural Asotin,Rural Asotin Voting District,V2,G5240,N,620008150,958,46.2711,-117.349,27323,123,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,620L200US53009,53,9,9,SHD,7265.057,2.687738,0.072201
818,Polygon,819,1,818,53,19,19009,5301919009,A,Danville,Danville Voting District,V2,G5240,N,75459933,0,48.957134,-118.5878475,818,819,777,130,53,19,19009,5301919009,A,Danville,Danville Voting District,V2,G5240,N,75459933,0,48.9571,-118.588,67641,175,130,1,761,Ferry,09 DANVILLE,9,29,46,100,30,0,44,0.386667,0.405405,100,1,09 DANVILLE,9,90,34,43,34,41,28,48,0.441558,0.453333,0.368421,0.421104,31.5828,43.4172,620L200US53007,53,7,7,SHD,10912.019,0.434185,0.009265
819,Polygon,820,1,819,53,19,19035,5301919035,A,Vulcan,Vulcan Voting District,V2,G5240,N,107410523,0,48.9481872,-118.6960745,819,820,803,130,53,19,19035,5301919035,A,Vulcan,Vulcan Voting District,V2,G5240,N,107410523,0,48.9482,-118.696,69940,155,130,1,787,Ferry,35 VULCAN,35,40,43,114,33,0,50,0.481928,0.39759,114,1,35 VULCAN,35,103,41,47,44,43,34,54,0.465909,0.505747,0.386364,0.452673,39.3826,47.6174,620L200US53007,53,7,7,SHD,10912.019,0.521379,0.013186
820,Polygon,821,1,820,53,19,19033,5301919033,A,Toroda,Toroda Voting District,V2,G5240,N,171838564,0,48.8929697,-118.7615838,820,821,801,301,53,19,19033,5301919033,A,Toroda,Toroda Voting District,V2,G5240,N,171838564,0,48.893,-118.762,69718,348,301,1,785,Ferry,33 TORODA,33,30,65,121,32,0,62,0.315789,0.340426,121,1,33 TORODA,33,162,49,60,54,56,38,66,0.449541,0.490909,0.365385,0.435278,47.8806,62.1194,620L200US53007,53,7,7,SHD,10912.019,0.770236,0.021075
829,Polygon,830,1,829,53,19,19017,5301919017,A,Lone Ranch,Lone Ranch Voting District,V2,G5240,N,177303788,27136,48.9369935,-118.4697927,829,830,785,90,53,19,19017,5301919017,A,Lone Ranch,Lone Ranch Voting District,V2,G5240,N,177303788,27136,48.937,-118.47,68500,100,90,1,769,Ferry,17 LONE RANCH,17,18,31,71,15,0,32,0.367347,0.319149,71,1,17 LONE RANCH,17,88,22,46,25,43,11,55,0.323529,0.367647,0.166667,0.285948,19.4444,48.5556,620L200US53007,53,7,7,SHD,10912.019,0.719287,0.021764
830,Polygon,831,1,830,53,19,19021,5301919021,A,Orient,Orient Voting District,V2,G5240,N,185894622,0,48.9281967,-118.2903363,830,831,789,172,53,19,19021,5301919021,A,Orient,Orient Voting District,V2,G5240,N,185894622,0,48.9282,-118.29,68857,204,172,1,773,Ferry,21 ORIENT,21,23,60,114,26,0,59,0.277108,0.305882,114,1,21 ORIENT,21,119,28,67,37,50,23,72,0.294737,0.425287,0.242105,0.32071,27.9018,59.0982,620L200US53007,53,7,7,SHD,10912.019,0.729462,0.022812
